                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3932,                 2.0178,                 1.3524,                0.83899,                0.71887,                0.80628,                0.49676,                 1.3348,                 1.1818,                 1.2496,               0.003328,               0.003328,               0.003328
                      2,                 1.3134,                 1.0693,                 1.2354,                0.86213,                0.72719,                0.80748,                0.49514,                 1.3359,                0.94952,                 1.2686,              0.0065954,              0.0065954,              0.0065954
                      3,                 1.3363,                0.98627,                 1.2581,                0.85436,                0.68715,                0.77877,                0.48366,                 1.3732,                0.98174,                 1.3093,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.3498,                0.98143,                 1.2815,                0.86748,                0.72589,                0.80925,                0.51336,                 1.3294,                0.90153,                    1.3,               0.009703,               0.009703,               0.009703
                      5,                 1.3209,                0.91901,                 1.2712,                0.87946,                0.75251,                0.83127,                0.52933,                 1.3013,                0.83577,                 1.2791,               0.009703,               0.009703,               0.009703
                      6,                 1.3075,                 0.8755,                 1.2601,                 0.8749,                0.76537,                0.83723,                0.52882,                 1.2914,                 0.8013,                 1.2711,               0.009604,               0.009604,               0.009604
                      7,                 1.2847,                0.84023,                 1.2513,                0.88573,                0.78206,                0.85545,                0.54239,                 1.2731,                0.78516,                 1.2681,               0.009505,               0.009505,               0.009505
                      8,                 1.2792,                0.83338,                 1.2436,                0.88269,                0.78647,                0.85986,                0.55278,                 1.2578,                0.74666,                 1.2579,               0.009406,               0.009406,               0.009406
                      9,                 1.2725,                0.81007,                 1.2403,                0.88173,                0.79404,                0.86682,                0.56273,                 1.2584,                0.74959,                 1.2515,               0.009307,               0.009307,               0.009307
                     10,                 1.2614,                0.80344,                 1.2321,                0.88419,                0.78992,                0.86644,                0.56297,                 1.2425,                0.71784,                 1.2428,               0.009208,               0.009208,               0.009208
                     11,                 1.2544,                0.77817,                 1.2247,                0.88454,                0.80736,                0.87958,                0.57608,                 1.2262,                0.69259,                 1.2262,               0.009109,               0.009109,               0.009109
                     12,                 1.2524,                0.76608,                 1.2246,                 0.8791,                0.80947,                0.87805,                0.57469,                 1.2311,                0.68191,                 1.2237,                0.00901,                0.00901,                0.00901
                     13,                 1.2374,                0.75778,                  1.216,                0.89307,                0.81364,                0.88619,                0.58261,                 1.2254,                0.65734,                 1.2272,               0.008911,               0.008911,               0.008911
                     14,                 1.2392,                0.75383,                 1.2194,                0.88467,                0.81109,                0.88405,                0.58412,                 1.2039,                0.66493,                 1.2198,               0.008812,               0.008812,               0.008812
                     15,                 1.2333,                0.74189,                 1.2112,                0.88717,                0.82495,                0.89167,                0.59167,                 1.1996,                0.64447,                 1.2078,               0.008713,               0.008713,               0.008713
                     16,                 1.2357,                0.74299,                 1.2081,                0.89022,                0.81947,                0.88579,                0.58078,                 1.2016,                0.63767,                 1.2046,               0.008614,               0.008614,               0.008614
                     17,                 1.2303,                0.72284,                 1.2053,                0.89076,                0.82145,                 0.8897,                0.59343,                 1.1948,                0.63823,                 1.1984,               0.008515,               0.008515,               0.008515
                     18,                 1.2209,                0.72033,                 1.2001,                0.89477,                0.82882,                0.89882,                0.59928,                 1.1877,                0.61718,                  1.195,               0.008416,               0.008416,               0.008416
                     19,                 1.2069,                0.70895,                 1.2013,                0.88878,                0.83572,                0.89984,                0.60167,                 1.1838,                0.61629,                    1.2,               0.008317,               0.008317,               0.008317
                     20,                 1.2056,                0.69841,                 1.1999,                0.88802,                0.84053,                0.90361,                 0.6026,                 1.1879,                0.60882,                 1.1954,               0.008218,               0.008218,               0.008218
                     21,                 1.2029,                0.69944,                 1.1914,                0.89311,                0.83158,                0.90107,                0.60322,                 1.1766,                0.60117,                 1.1898,               0.008119,               0.008119,               0.008119
                     22,                  1.201,                0.69532,                 1.1889,                0.89321,                0.84096,                0.90479,                0.60747,                  1.173,                0.59349,                  1.183,                0.00802,                0.00802,                0.00802
                     23,                 1.2005,                0.69504,                 1.1902,                0.89578,                 0.8364,                0.90349,                0.60832,                 1.1721,                0.59244,                 1.1797,               0.007921,               0.007921,               0.007921
                     24,                   1.19,                0.68432,                 1.1852,                0.89854,                0.84284,                0.90765,                0.61059,                 1.1686,                0.58344,                  1.185,               0.007822,               0.007822,               0.007822
                     25,                 1.1978,                0.68846,                 1.1854,                0.89428,                 0.8449,                 0.9079,                0.61169,                 1.1647,                0.58153,                 1.1735,               0.007723,               0.007723,               0.007723
                     26,                  1.192,                0.67175,                 1.1777,                0.89345,                0.84538,                0.90802,                0.61097,                 1.1621,                0.57968,                 1.1719,               0.007624,               0.007624,               0.007624
                     27,                 1.1977,                 0.6709,                 1.1711,                0.89515,                 0.8502,                0.91188,                0.61738,                 1.1536,                0.56988,                 1.1627,               0.007525,               0.007525,               0.007525
                     28,                 1.1931,                0.66795,                 1.1834,                 0.8943,                 0.8483,                0.91181,                0.61801,                 1.1481,                0.56285,                 1.1633,               0.007426,               0.007426,               0.007426
